"stationID","datetimeUTC","voltage_V","h2Temp_C","stage_ft","LSU","telem_source","basinPair"
"CE","2021-10-20 12:05:00",12.6,3,0.03,100,"GOES","Coxit"
"TW","2021-10-21 00:05:00",12.7,6.7,0.08,100,"GOES","Tripps Knob"
"FE","2021-10-21 00:05:00",12.7,6.4,0.05,100,"GOES","Fish Creek"
"CW","2021-10-21 00:05:00",12.7,4.1,0.05,100,"GOES","Coxit"
"CE","2021-10-21 00:05:00",12.7,3.6,0.05,100,"GOES","Coxit"
"TW","2021-10-21 12:05:00",12.7,3.7,0.05,100,"GOES","Tripps Knob"
"FE","2021-10-21 12:05:00",12.7,4,0.03,100,"GOES","Fish Creek"
"CW","2021-10-21 12:05:00",12.7,0.4,0.04,100,"GOES","Coxit"
"CE","2021-10-21 12:05:00",12.6,-0.7,0.04,100,"GOES","Coxit"
"TW","2021-10-22 00:05:00",12.7,7.2,0.03,100,"GOES","Tripps Knob"
"FE","2021-10-22 00:05:00",12.7,6.9,0.03,100,"GOES","Fish Creek"
"CW","2021-10-22 00:05:00",12.7,5,0.04,100,"GOES","Coxit"
"CE","2021-10-22 00:05:00",12.7,4.5,0.03,100,"GOES","Coxit"
"TW","2021-10-22 12:05:00",12.7,5.3,0.04,100,"GOES","Tripps Knob"
"FE","2021-10-22 12:05:00",12.7,5.7,0.03,100,"GOES","Fish Creek"
"CW","2021-10-22 12:05:00",12.7,5.5,0.08,100,"GOES","Coxit"
"CE","2021-10-22 12:05:00",12.6,4.9,0.08,100,"GOES","Coxit"
"TW","2021-10-23 00:05:00",12.7,7.4,0.04,100,"GOES","Tripps Knob"
"FE","2021-10-23 00:05:00",12.7,6.6,0.05,100,"GOES","Fish Creek"
"CW","2021-10-23 00:05:00",12.7,4.6,0.08,100,"GOES","Coxit"
"CE","2021-10-23 00:05:00",12.6,4.2,0.09,100,"GOES","Coxit"
"TW","2021-10-23 12:05:00",12.7,5.1,0.05,100,"GOES","Tripps Knob"
"FE","2021-10-23 12:05:00",12.7,4.2,0.04,100,"GOES","Fish Creek"
"CW","2021-10-23 12:05:00",12.7,0.4,0.05,100,"GOES","Coxit"
"CE","2021-10-23 12:05:00",12.6,-0.3,0.06,100,"GOES","Coxit"
"TW","2021-10-24 00:05:00",12.7,5.3,0.04,100,"GOES","Tripps Knob"
"FE","2021-10-24 00:05:00",12.7,4.3,0.04,100,"GOES","Fish Creek"
"CW","2021-10-24 00:05:00",12.7,2.5,0.04,100,"GOES","Coxit"
"CE","2021-10-24 00:05:00",12.7,2.3,0.04,100,"GOES","Coxit"
"TW","2021-10-24 12:05:00",12.7,4.8,0.04,100,"GOES","Tripps Knob"
"FE","2021-10-24 12:05:00",12.7,4.2,0.04,100,"GOES","Fish Creek"
